Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt
0,0,0,0,856,854,0,1710,1,0,2,1,3,1,1,8,0,0,,Attchd,2003.0
0,0,0,0,1262,0,0,1262,0,1,2,0,3,1,2,6,0,1,2,Attchd,1976.0
0,0,0,0,920,866,0,1786,1,0,2,1,3,1,1,6,0,1,2,Attchd,2001.0
0,1,0,0,961,756,0,1717,1,0,1,0,3,1,1,7,0,1,1,Detchd,1998.0
0,0,0,0,1145,1053,0,2198,1,0,2,1,4,1,1,9,0,1,2,Attchd,2000.0
0,0,0,0,796,566,0,1362,1,0,1,1,1,1,2,5,0,0,,Attchd,1993.0
0,0,0,0,1694,0,0,1694,1,0,2,0,3,1,1,7,0,1,1,Attchd,2004.0
0,0,0,0,1107,983,0,2090,1,0,2,1,3,1,2,7,0,2,2,Attchd,1973.0
0,1,0,2,1022,752,0,1774,0,0,2,0,2,2,2,8,1,2,2,Detchd,1931.0
0,0,0,0,1077,0,0,1077,1,0,1,0,2,2,2,5,0,2,2,Attchd,1939.0
0,0,0,0,1040,0,0,1040,1,0,1,0,3,1,2,5,0,0,,Detchd,1965.0
0,0,0,0,1182,1142,0,2324,1,0,3,0,4,1,0,11,0,2,1,BuiltIn,2005.0
0,2,0,0,912,0,0,912,1,0,1,0,2,1,2,4,0,0,,Detchd,1962.0
0,0,0,0,1494,0,0,1494,0,0,2,0,3,1,1,7,0,1,1,Attchd,2006.0
0,2,0,0,1253,0,0,1253,1,0,1,1,2,1,2,5,0,1,3,Attchd,1960.0
0,0,0,1,854,0,0,854,0,0,1,0,2,1,2,5,0,0,,Detchd,1991.0
0,0,0,0,1004,0,0,1004,1,0,1,0,2,1,2,5,0,1,2,Attchd,1970.0
0,2,0,0,1296,0,0,1296,0,0,2,0,2,2,2,6,0,0,,CarPort,1967.0
0,0,0,0,1114,0,0,1114,1,0,1,1,3,1,1,6,0,0,,Detchd,2004.0
0,2,0,0,1339,0,0,1339,0,0,1,0,3,1,2,6,1,0,,Attchd,1958.0
0,0,0,0,1158,1218,0,2376,0,0,3,1,4,1,1,9,0,1,1,BuiltIn,2005.0
0,0,0,2,1108,0,0,1108,0,0,1,0,3,1,1,6,0,1,1,Attchd,1930.0
0,0,0,0,1795,0,0,1795,0,0,2,0,3,1,1,7,0,1,1,Attchd,2002.0
0,2,0,0,1060,0,0,1060,1,0,1,0,3,1,2,6,0,1,2,Attchd,1976.0
0,0,0,0,1060,0,0,1060,1,0,1,0,3,1,1,6,0,1,2,Attchd,1968.0
0,0,0,0,1600,0,0,1600,0,0,2,0,3,1,1,7,0,1,1,Attchd,2007.0
0,2,0,0,900,0,0,900,0,1,1,0,3,1,1,5,0,0,,Detchd,2005.0
0,0,0,0,1704,0,0,1704,1,0,2,0,3,1,1,7,0,1,1,Attchd,2008.0
0,2,0,0,1600,0,0,1600,1,0,1,0,2,1,2,6,0,2,1,Attchd,1957.0
0,3,1,0,520,0,0,520,0,0,1,0,1,1,3,4,0,0,,Detchd,1920.0
0,2,1,0,649,668,0,1317,0,0,1,0,3,1,2,6,0,0,,Detchd,1920.0
0,1,0,0,1228,0,0,1228,0,0,1,1,3,1,1,6,0,0,,Attchd,1966.0
0,0,0,0,1234,0,0,1234,0,0,2,0,3,1,1,7,0,0,,Attchd,2007.0
0,1,0,0,1700,0,0,1700,0,1,1,1,4,1,1,6,0,1,1,Attchd,1959.0
0,0,0,0,1561,0,0,1561,1,0,2,0,2,1,0,6,0,1,1,Attchd,2005.0
0,0,0,0,1132,1320,0,2452,0,0,3,1,4,1,1,9,0,1,1,BuiltIn,2004.0
0,0,0,0,1097,0,0,1097,0,0,1,1,3,1,2,6,0,0,,Attchd,1995.0
0,1,0,0,1297,0,0,1297,0,1,1,0,3,1,2,5,0,1,2,Attchd,1954.0
0,2,0,0,1057,0,0,1057,1,0,1,0,3,1,1,5,0,0,,Detchd,1953.0
0,2,1,3,1152,0,0,1152,0,0,2,0,2,2,3,6,0,0,,,
0,0,0,0,1324,0,0,1324,0,0,2,0,3,1,2,6,0,1,2,Attchd,1965.0
0,1,0,0,1328,0,0,1328,0,1,1,1,2,1,2,5,0,2,1,Attchd,1959.0
0,1,0,0,884,0,0,884,1,0,1,0,2,1,1,5,0,0,,Attchd,1983.0
0,2,0,0,938,0,0,938,1,0,1,0,3,1,2,5,0,0,,Detchd,1977.0
0,0,0,1,1150,0,0,1150,1,0,1,0,3,1,2,6,0,0,,Attchd,1959.0
0,0,0,0,1752,0,0,1752,1,0,2,0,2,1,0,6,0,1,1,Attchd,2005.0
0,0,0,0,1518,631,0,2149,1,0,1,1,1,1,1,6,0,1,0,Attchd,2003.0
0,0,0,0,1656,0,0,1656,0,0,2,0,3,1,1,7,0,0,,Attchd,2006.0
0,1,0,0,736,716,0,1452,0,0,2,0,2,3,2,8,0,0,,,
0,0,0,0,955,0,0,955,1,0,1,0,3,1,2,6,0,0,,Attchd,1966.0
0,1,0,0,794,676,0,1470,0,1,2,0,3,1,2,6,0,0,,Attchd,1997.0
0,2,0,0,816,0,360,1176,0,0,1,0,3,1,2,6,0,1,1,Detchd,1985.0
0,2,1,0,816,0,0,816,1,0,1,0,2,1,2,5,0,0,,CarPort,1963.0
0,1,0,0,1842,0,0,1842,2,0,0,1,0,1,1,5,0,1,1,Attchd,1981.0
0,2,0,0,1360,0,0,1360,0,0,1,0,3,1,2,6,1,1,2,Detchd,1962.0
0,1,0,0,1425,0,0,1425,0,0,2,0,3,1,2,7,0,1,1,Attchd,1964.0
0,0,0,0,983,756,0,1739,1,0,2,1,3,1,1,7,0,0,,Attchd,1999.0
0,0,0,0,860,860,0,1720,0,0,2,1,3,1,1,7,0,0,,Attchd,2004.0
0,0,0,0,1426,1519,0,2945,0,0,3,1,3,1,1,10,0,1,1,BuiltIn,2006.0
0,0,0,0,780,0,0,780,0,0,1,0,2,1,2,4,0,0,,Detchd,1973.0
0,0,0,0,1158,0,0,1158,1,0,1,1,3,1,1,5,0,0,,Detchd,2006.0
0,2,1,0,581,530,0,1111,0,0,1,0,3,1,3,6,0,0,,Detchd,1935.0
0,0,0,0,1370,0,0,1370,0,0,2,0,2,1,1,6,0,1,1,Attchd,2006.0
0,1,0,0,902,808,0,1710,0,0,2,0,3,1,2,9,0,0,,Detchd,1990.0
0,0,0,0,1057,977,0,2034,1,0,2,1,3,1,1,8,0,0,,Attchd,1998.0
0,0,0,0,1143,1330,0,2473,0,0,2,1,4,1,1,9,0,1,1,BuiltIn,2004.0
0,2,0,0,2207,0,0,2207,1,0,2,0,3,1,2,7,1,1,1,Attchd,1970.0
0,0,0,0,1479,0,0,1479,1,0,2,0,3,1,1,7,0,0,,Attchd,2003.0
0,2,0,0,747,0,0,747,0,0,1,0,2,1,2,4,0,0,,Attchd,1945.0
1,2,0,0,1304,983,0,2287,0,0,2,0,3,1,2,7,0,1,2,Attchd,1953.0
0,0,0,0,2223,0,0,2223,1,0,2,0,3,1,2,8,0,2,1,Attchd,1973.0
0,2,0,0,845,0,0,845,1,0,1,0,2,1,2,4,0,0,,Detchd,1987.0
0,1,0,0,885,833,0,1718,0,0,2,1,3,1,2,7,0,1,2,Attchd,1998.0
0,1,0,0,1086,0,0,1086,1,0,1,0,3,1,2,6,0,0,,Attchd,1989.0
0,1,1,0,840,765,0,1605,0,0,2,0,3,2,2,8,0,0,,Detchd,1915.0
0,2,0,0,526,462,0,988,1,0,1,0,2,1,2,5,0,0,,BuiltIn,1973.0
0,0,0,1,952,0,0,952,0,0,1,0,2,1,2,4,0,0,,Detchd,1956.0
0,2,0,0,1072,213,0,1285,1,0,1,0,2,1,2,6,1,0,,Detchd,1948.0
0,2,1,0,1768,0,0,1768,0,0,2,0,4,2,2,8,0,0,,,
0,1,0,0,682,548,0,1230,0,0,1,1,2,1,2,5,0,0,,Detchd,1966.0
0,2,0,0,1182,960,0,2142,0,0,2,1,4,1,1,8,0,1,1,Attchd,1968.0
0,0,0,0,1337,0,0,1337,1,0,2,0,2,1,2,5,0,0,,Attchd,1998.0
0,0,0,0,1563,0,0,1563,0,0,2,0,3,1,1,6,0,1,1,Attchd,2007.0
0,1,0,0,1065,0,0,1065,0,0,1,1,3,1,2,6,0,0,,Detchd,1974.0
0,1,0,0,804,670,0,1474,0,0,2,1,3,1,2,7,0,1,2,BuiltIn,1995.0
0,0,0,0,1301,1116,0,2417,0,0,2,1,4,1,1,9,0,1,2,Attchd,1991.0
0,0,0,0,684,876,0,1560,0,0,2,1,3,1,1,6,0,1,1,BuiltIn,2005.0
0,0,0,0,612,612,0,1224,0,0,2,1,2,1,1,4,0,0,,Detchd,2009.0
